N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,rter,joy,0.576412,39,,,,,,,,,,,,0.351418,,,,,0.072387
6,gw,rter,joy,0.680959,39,,,,,,,,,,,,0.417384,,,,,0.072236
7,gw,rter,joy,0.620515,39,,,,,,,,,,,0.144629,0.436788,,,,,0.053466
8,gw,rter,joy,0.628117,39,,,,,,,,,,,0.163044,0.441040,,,,,0.055372
9,gw,rter,joy,0.563320,39,,,,,,,,,,,0.193426,0.432062,,,,,0.054067
10,gw,rter,joy,0.583054,39,,,,,,,,,,,0.184434,0.446431,,,,0.110222,0.041390
11,gw,rter,joy,0.599488,39,,,,,,,,,,,0.194564,0.450631,,,,0.111214,0.042857
12,gw,rter,joy,0.657795,39,,,,,,,,,,,0.221001,0.443479,,,,,0.053707
13,gw,rter,joy,0.644083,39,,,,,,,,,,,0.269575,0.467721,,,,0.116246,0.034262
14,gw,rter,joy,0.643107,39,,,,,,,,,,,0.271131,0.465900,,,,0.116088,0.034565
15,gw,rter,joy,0.642983,39,,,,,,,,,,,0.263065,0.464939,,,,0.119050,0.035763
16,gw,rter,joy,0.622548,39,,,,,,,,,,,0.215230,0.467626,,,,0.144581,0.034063
17,gw,rter,joy,0.652644,39,,,,,,,,,,,0.205723,0.472261,,,,0.152777,0.034780
18,gw,rter,joy,0.673315,39,,,,,,,,,,,0.164362,0.503646,,,,0.173618,0.034259
19,gw,rter,joy,0.685194,39,,,,,,,,,,,0.154647,0.515461,,,,0.173537,0.035477
20,gw,rter,joy,0.783344,39,,,,,,,,,,,0.205495,0.522468,,,,0.160155,0.027840
21,gw,rter,joy,0.797934,39,,,,,,,,,,,0.193704,0.534986,,,,0.163390,0.028442
22,gw,rter,joy,0.798823,39,,,,,,,,,,,0.197738,0.530981,,,,0.169955,0.028470
23,gw,rter,joy,0.809416,39,,,,,,,,,,,0.196213,0.547328,,,,0.174434,0.026132
24,gw,rter,joy,0.809871,39,,,,,,,,,,,0.200305,0.545037,,,,0.178793,0.026079
25,gw,rter,joy,0.816850,39,,,,,,,,,,,0.203534,0.554244,,,,0.183812,0.024867
