N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,tter,joy,0.541344,39,-0.371595,0.301030,-0.730523,-0.484380,,,,0.400478,,-0.085264,,0.234798,0.496739,-0.128373,,,0.132269
6,gw,tter,joy,0.638252,39,-0.419948,0.175230,-0.469310,-0.356286,,,,0.415402,,-0.103172,,0.267204,0.512652,-0.117664,,,0.124446
7,gw,tter,joy,0.608696,39,-0.507673,0.405746,-0.425131,,,0.119033,,0.423565,,,0.089263,0.220280,0.599185,-0.158963,,,-0.010538
8,gw,tter,joy,0.618317,39,,0.259156,-0.562947,,,,,0.422076,,,,0.214779,0.553227,-0.168358,,,0.022071
9,gw,tter,joy,0.552254,39,,,,,,,,0.249831,,,,0.254129,0.416031,-0.132730,,,0.043074
10,gw,tter,joy,0.486798,39,-0.450957,0.212756,,,,,,,,,0.153422,0.300472,0.214409,,,0.099274,0.042635
11,gw,tter,joy,0.430647,39,-0.609696,0.286868,,,0.359078,,-0.247907,,,,0.185960,0.298343,0.222004,,,0.109797,0.023832
12,gw,tter,joy,0.402963,39,-0.589918,0.281246,,,0.339300,,-0.247996,,,,0.182833,0.294055,0.231546,,,0.087690,0.027831
13,gw,tter,joy,0.403081,39,-0.663823,,0.648549,,0.374527,,-0.326232,,0.148341,,0.149637,0.357593,0.154899,,,,0.027165
14,gw,tter,joy,0.389030,39,-0.515302,0.245061,,,0.409150,,-0.292068,0.345987,,,0.161914,0.276500,0.182590,,,,-0.000984
15,gw,tter,joy,0.401030,39,-0.378824,0.190391,,,0.511016,,-0.409683,,,,0.178459,0.326870,0.174037,,,,0.025114
16,gw,tter,joy,0.442587,39,-0.631401,0.263808,,,0.473891,,-0.365788,,,,0.160769,0.307346,,,,0.110561,0.039397
17,gw,tter,joy,0.456686,39,-0.686846,0.278228,,,0.568219,,-0.418597,,,,0.171620,0.301389,,,,0.120966,0.035587
18,gw,tter,joy,0.474118,39,-0.647654,,0.544879,,0.560943,,-0.417273,-0.347354,,,0.149061,0.389751,,,,0.152194,0.061388
19,gw,tter,joy,0.595998,39,,,,,,,,,,,,0.362885,,,,0.111562,0.070127
20,gw,tter,joy,0.613127,39,-0.282243,0.198233,,,0.233001,,,,,,0.136646,0.345158,,,,0.123914,0.015450
21,gw,tter,joy,0.664335,39,,,,,,,,,,-0.091503,0.206571,0.363569,,,,0.109090,0.062655
22,gw,tter,joy,0.666537,39,,,,,,,,,,-0.096566,0.212019,0.361866,,,,0.113549,0.063233
23,gw,tter,joy,0.677625,39,,,,,,,,,,-0.099139,0.219719,0.372742,,,,0.113216,0.062550
24,gw,tter,joy,0.601585,39,,,,0.146565,,0.137087,,,,-0.113799,0.223628,0.409573,,0.087145,,0.107529,0.011453
25,gw,tter,joy,0.572853,39,-0.262309,0.152782,,0.170381,,0.135753,,,,-0.097688,0.239716,0.407883,,0.103415,,0.124904,0.000098
