N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,tter,joy,0.497080,39,,,,,,,,,,,,0.249050,,,,,0.081596
6,gw,tter,joy,0.595542,39,,,,,,,,,,,,0.295386,,,,,0.082059
7,gw,tter,joy,0.511929,39,,,,,,,,,,,0.102542,0.306428,,,,,0.069291
8,gw,tter,joy,0.515093,39,,,,,,,,,,,0.111404,0.309488,,,,,0.071038
9,gw,tter,joy,0.463168,39,,,,,,,,,,,0.132522,0.303554,,,,,0.070285
10,gw,tter,joy,0.504398,39,,,,,,,,,,,0.126851,0.315094,,,,0.075162,0.061651
11,gw,tter,joy,0.502578,39,,,,,,,,,,,0.120926,0.316464,,,,0.074643,0.064249
12,gw,tter,joy,0.543516,39,,,,,,,,,,,0.134147,0.311084,,,,,0.072205
13,gw,tter,joy,0.559820,39,,,,,,,,,,,0.189469,0.318143,,,,,0.068145
14,gw,tter,joy,0.558387,39,,,,,,,,,,,0.190607,0.316848,,,,,0.068342
15,gw,tter,joy,0.551685,39,,,,,,,,,,,0.182221,0.314554,,,,,0.070064
16,gw,tter,joy,0.514660,39,,,,,,,,,,,0.148597,0.318059,,,,0.088790,0.060699
17,gw,tter,joy,0.514852,39,,,,,,,,,,,0.142835,0.321412,,,,0.093417,0.061188
18,gw,tter,joy,0.584958,39,,,,,,,,,,,,0.355012,,,,0.112051,0.069756
19,gw,tter,joy,0.595998,39,,,,,,,,,,,,0.362885,,,,0.111562,0.070127
20,gw,tter,joy,0.568374,39,,,,,,,,,,-0.109972,0.228709,0.354824,,,,0.110916,0.062473
21,gw,tter,joy,0.570659,39,,0.092046,,,,,,,,-0.074553,0.198117,0.364950,,,,0.104352,0.046137
22,gw,tter,joy,0.666537,39,,,,,,,,,,-0.096566,0.212019,0.361866,,,,0.113549,0.063233
23,gw,tter,joy,0.677625,39,,,,,,,,,,-0.099139,0.219719,0.372742,,,,0.113216,0.062550
24,gw,tter,joy,0.675409,39,,,,,,,,,,-0.101755,0.227913,0.370296,,,,0.114833,0.062876
25,gw,tter,joy,0.684303,39,,,,,,,,,,-0.102142,0.234202,0.376594,,,,0.119061,0.061841
