N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,joy,0.362164,39,,,,,,,,,,,,,,-0.185717,,,0.302441
6,gw,oter,joy,0.412900,39,,,,,,,,,,,,,,-0.204987,,,0.308976
7,gw,oter,joy,0.777872,39,,0.211962,,0.379086,,,,,,,,,,-0.093099,,,0.063552
8,gw,oter,joy,0.663649,39,,0.251109,,0.300231,,,,,,,,,,-0.103867,,,0.091406
9,gw,oter,joy,0.789210,39,,0.272971,,0.253145,,-0.161737,,0.121362,,,,,,-0.081377,,,0.115967
10,gw,oter,joy,0.861227,39,,0.227404,,0.214003,,,,,,,,,,-0.094330,,,0.140623
11,gw,oter,joy,0.850478,39,0.206403,0.116613,,0.152694,,,,,,,,,,-0.091994,,,0.159276
12,gw,oter,joy,0.846603,39,0.328631,,,0.118299,,,,,,,,,,-0.106865,,,0.187606
13,gw,oter,joy,0.781553,39,0.232474,,,0.083609,,,,,,,,,,-0.113156,,,0.225226
14,gw,oter,joy,0.781517,39,0.232561,,,0.083613,,,,,,,,,,-0.113105,,,0.225201
15,gw,oter,joy,0.710136,39,,0.134113,-0.158738,0.106940,,,,,,,0.056433,,,-0.141710,,,0.244277
16,gw,oter,joy,0.770468,39,0.159318,,,0.097275,,,,,-0.071521,,,,,,-0.168559,0.043206,0.244138
17,gw,oter,joy,0.766051,39,,0.103066,,0.098296,,,,,,,,,,-0.133158,,,0.243429
18,gw,oter,joy,0.765781,39,0.266405,,,,,,,,,,,,,-0.148681,,,0.262513
19,gw,oter,joy,0.710221,39,,0.078699,,0.086425,,,,0.078895,-0.077542,,,,,,-0.139308,0.039562,0.234825
20,gw,oter,joy,0.698736,39,,,,0.109683,,,,,-0.074206,,,,,,-0.148802,0.050182,0.267956
21,gw,oter,joy,0.485621,39,,,,0.086422,,,,0.090835,-0.086034,,,,,,-0.117720,0.041281,0.253024
22,gw,oter,joy,0.423608,39,,0.069843,,,,,,0.124944,-0.055968,,,,,-0.082570,,,0.261771
23,gw,oter,joy,0.613154,39,,0.090387,,,,,-0.139025,0.176485,-0.072601,,,,,-0.079208,,,0.271413
24,gw,oter,joy,0.410640,39,-0.120170,0.123430,,0.059663,,,-0.159664,0.191783,-0.090765,,,,,,-0.081543,,0.264911
25,gw,oter,joy,0.534067,39,-0.144869,0.145329,,0.062443,,,-0.178433,0.193432,-0.092562,,,,,,-0.077528,,0.263969
