N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,joy,0.362164,39,,,,,,,,,,,,,,-0.185717,,,0.302441
6,gw,oter,joy,0.412900,39,,,,,,,,,,,,,,-0.204987,,,0.308976
7,gw,oter,joy,0.777872,39,,0.211962,,0.379086,,,,,,,,,,-0.093099,,,0.063552
8,gw,oter,joy,0.663649,39,,0.251109,,0.300231,,,,,,,,,,-0.103867,,,0.091406
9,gw,oter,joy,0.811530,39,,0.253519,,0.255335,,,,,,,,,,-0.082708,,,0.110767
10,gw,oter,joy,0.861227,39,,0.227404,,0.214003,,,,,,,,,,-0.094330,,,0.140623
11,gw,oter,joy,0.860640,39,,0.202019,,0.185222,,,,,,,,,,-0.091496,,,0.162115
12,gw,oter,joy,0.841379,39,,0.172534,,0.157194,,,,,,,,,,-0.098021,,,0.184933
13,gw,oter,joy,0.775760,39,,0.112855,,0.115158,,,,,,,,,,-0.108523,,,0.224704
14,gw,oter,joy,0.775709,39,,0.112873,,0.115184,,,,,,,,,,-0.108475,,,0.224684
15,gw,oter,joy,0.723383,39,,0.078547,,0.101529,,,,,,,,,,-0.117657,,,0.243118
16,gw,oter,joy,0.767649,39,,0.096906,,0.097352,,,,,,,,,,-0.132846,,,0.245111
17,gw,oter,joy,0.766051,39,,0.103066,,0.098296,,,,,,,,,,-0.133158,,,0.243429
18,gw,oter,joy,0.740786,39,,0.087994,,0.084862,,,,,,,,,,-0.134241,,,0.254291
19,gw,oter,joy,0.717760,39,,0.068387,,0.075552,,,,,,,,,,-0.134809,,,0.263941
20,gw,oter,joy,0.694306,39,,,,0.090541,,,,,,,,,,-0.134749,,,0.277877
21,gw,oter,joy,0.617189,39,,,,0.070538,,,,,,,,,,-0.123970,,,0.284496
22,gw,oter,joy,0.425950,39,,,,0.051829,,,,,,,,,,-0.107185,,,0.289701
23,gw,oter,joy,0.428853,39,,,,0.054133,,,,,,,,,,-0.116262,,,0.292363
24,gw,oter,joy,0.429527,39,,,,0.050778,,,,,,,,,,-0.122433,,,0.297011
25,gw,oter,joy,0.432931,39,,,,0.052781,,,,,,,,,,-0.122788,,,0.295835
