N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,joy,0.3622,39,,,,,,,,,,,,,,-0.1857,,,0.3024
6,gw,oter,joy,0.4129,39,,,,,,,,,,,,,,-0.2050,,,0.3090
7,gw,oter,joy,0.7779,39,,0.2120,,0.3791,,,,,,,,,,-0.0931,,,0.0636
8,gw,oter,joy,0.6636,39,,0.2511,,0.3002,,,,,,,,,,-0.1039,,,0.0914
9,gw,oter,joy,0.7892,39,,0.2730,,0.2531,,-0.1617,,0.1214,,,,,,-0.0814,,,0.1160
10,gw,oter,joy,0.8612,39,,0.2274,,0.2140,,,,,,,,,,-0.0943,,,0.1406
11,gw,oter,joy,0.8505,39,0.2064,0.1166,,0.1527,,,,,,,,,,-0.0920,,,0.1593
12,gw,oter,joy,0.8466,39,0.3286,,,0.1183,,,,,,,,,,-0.1069,,,0.1876
13,gw,oter,joy,0.7816,39,0.2325,,,0.0836,,,,,,,,,,-0.1132,,,0.2252
14,gw,oter,joy,0.7815,39,0.2326,,,0.0836,,,,,,,,,,-0.1131,,,0.2252
15,gw,oter,joy,0.7101,39,,0.1341,-0.1587,0.1069,,,,,,,0.0564,,,-0.1417,,,0.2443
16,gw,oter,joy,0.7705,39,0.1593,,,0.0973,,,,,-0.0715,,,,,,-0.1686,0.0432,0.2441
17,gw,oter,joy,0.7661,39,,0.1031,,0.0983,,,,,,,,,,-0.1332,,,0.2434
18,gw,oter,joy,0.7658,39,0.2664,,,,,,,,,,,,,-0.1487,,,0.2625
19,gw,oter,joy,0.7102,39,,0.0787,,0.0864,,,,0.0789,-0.0775,,,,,,-0.1393,0.0396,0.2348
20,gw,oter,joy,0.6987,39,,,,0.1097,,,,,-0.0742,,,,,,-0.1488,0.0502,0.2680
21,gw,oter,joy,0.4856,39,,,,0.0864,,,,0.0908,-0.0860,,,,,,-0.1177,0.0413,0.2530
22,gw,oter,joy,0.4236,39,,0.0698,,,,,,0.1249,-0.0560,,,,,-0.0826,,,0.2618
23,gw,oter,joy,0.6132,39,,0.0904,,,,,-0.1390,0.1765,-0.0726,,,,,-0.0792,,,0.2714
24,gw,oter,joy,0.4106,39,-0.1202,0.1234,,0.0597,,,-0.1597,0.1918,-0.0908,,,,,,-0.0815,,0.2649
25,gw,oter,joy,0.5341,39,-0.1449,0.1453,,0.0624,,,-0.1784,0.1934,-0.0926,,,,,,-0.0775,,0.2640
