N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,joy,0.2724,39,-0.3271,,,0.2231,,,,,,,,,,-0.1666,,,0.2717
6,gw,oter,joy,0.4129,39,,,,,,,,,,,,,,-0.2050,,,0.3090
7,gw,oter,joy,0.7779,39,,0.2120,,0.3791,,,,,,,,,,-0.0931,,,0.0636
8,gw,oter,joy,0.6636,39,,0.2511,,0.3002,,,,,,,,,,-0.1039,,,0.0914
9,gw,oter,joy,0.8115,39,,0.2535,,0.2553,,,,,,,,,,-0.0827,,,0.1108
10,gw,oter,joy,0.8612,39,,0.2274,,0.2140,,,,,,,,,,-0.0943,,,0.1406
11,gw,oter,joy,0.8505,39,0.2064,0.1166,,0.1527,,,,,,,,,,-0.0920,,,0.1593
12,gw,oter,joy,0.8466,39,0.3286,,,0.1183,,,,,,,,,,-0.1069,,,0.1876
13,gw,oter,joy,0.7816,39,0.2325,,,0.0836,,,,,,,,,,-0.1132,,,0.2252
14,gw,oter,joy,0.7815,39,0.2326,,,0.0836,,,,,,,,,,-0.1131,,,0.2252
15,gw,oter,joy,0.7349,39,0.1748,,,0.0747,,,,,,,,,,-0.1203,,,0.2428
16,gw,oter,joy,0.7628,39,0.1766,,,0.0756,,,,,,,,,,-0.1389,,,0.2480
17,gw,oter,joy,0.7606,39,0.1863,,,0.0750,,,,,,,,,,-0.1406,,,0.2469
18,gw,oter,joy,0.7492,39,0.1660,,,0.0625,,,,,,,,,,-0.1402,,,0.2568
19,gw,oter,joy,0.7463,39,0.2273,,,,,,,,,,,,,-0.1473,,,0.2703
20,gw,oter,joy,0.7002,39,0.1906,,,,,,,,,,,,,-0.1386,,,0.2764
21,gw,oter,joy,0.6199,39,0.1475,,,,,,,,,,,,,-0.1274,,,0.2836
22,gw,oter,joy,0.4239,39,0.1065,,,,,,,,,,,,,-0.1105,,,0.2895
23,gw,oter,joy,0.4289,39,,,,0.0541,,,,,,,,,,-0.1163,,,0.2924
24,gw,oter,joy,0.4295,39,,,,0.0508,,,,,,,,,,-0.1224,,,0.2970
25,gw,oter,joy,0.4329,39,,,,0.0528,,,,,,,,,,-0.1228,,,0.2958
