N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,rter,joy,0.407722,39,0.735678,,-0.812707,,,,0.246879,0.272161,,-0.206331,0.186664,0.268896,,,,,0.075989
6,gw,rter,joy,0.581018,39,,,,,,,0.229161,0.217227,,,,0.353177,,,,,0.061452
7,gw,rter,joy,0.580672,39,,,-0.693801,,,0.217930,,0.222653,,-0.206712,0.213892,0.387999,,,,,0.180962
8,gw,rter,joy,0.656769,39,,,-0.567374,,,,,0.419680,,-0.217632,0.293505,0.362717,,,,,0.164047
9,gw,rter,joy,0.699320,39,,,-0.471439,,,,,0.450922,,-0.249069,0.279097,0.372546,,,,,0.144046
10,gw,rter,joy,0.738951,39,,,,,,,,0.456501,,-0.202530,0.209077,0.382004,,,,,0.059467
11,gw,rter,joy,0.773659,39,,,,,,,,0.462823,,-0.182916,0.199390,0.382283,,,,,0.061963
12,gw,rter,joy,0.755673,39,,,,,,,,0.472593,,-0.209917,0.218090,0.357229,,,,,0.073408
13,gw,rter,joy,0.675052,39,,,,,,-0.439871,0.609559,0.538033,,,,0.408843,,,,,0.023752
14,gw,rter,joy,0.698655,39,,,,,,,,0.500464,,-0.219238,0.217256,0.372982,,,,,0.063367
15,gw,rter,joy,0.719791,39,,,,,,-0.522841,0.693643,0.610749,,,,0.399007,,,,,0.019374
16,gw,rter,joy,0.628588,39,0.465127,-0.301192,,,,,0.652693,,,-0.128878,,0.437327,,,,0.162778,0.041034
17,gw,rter,joy,0.664909,39,,,,,,,,0.295274,,-0.131976,,0.404293,,,,0.136730,0.095208
18,gw,rter,joy,0.634811,39,,,,,0.443229,,,,,-0.115575,,0.478278,,0.159972,-0.190623,0.181728,0.034504
19,gw,rter,joy,0.700458,39,,,,,0.339749,,,,,,,0.464027,,,,0.142992,0.049489
20,gw,rter,joy,0.662402,39,0.538480,-0.246349,,,,,0.435995,,,-0.138659,,0.489746,,,,0.181828,0.040660
21,gw,rter,joy,0.694699,39,0.603683,-0.281573,,,,,0.531305,,,-0.143143,,0.512944,,,,0.176893,0.021622
22,gw,rter,joy,0.694806,39,0.592512,-0.270020,,,,,0.524802,,,-0.141919,,0.512962,,,,0.179419,0.020328
23,gw,rter,joy,0.660827,39,0.517911,-0.229257,,,,,0.371346,,,-0.147514,,0.525429,,,,0.194908,0.037715
24,gw,rter,joy,0.674063,39,,,,0.125614,,0.210796,,,,-0.164345,,0.537182,,,,0.180993,0.041401
25,gw,rter,joy,0.630468,39,,,,0.187812,,0.212752,,,,-0.213448,,0.582085,,0.236154,-0.200742,0.213666,-0.002759
