N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,rter,joy,0.435093,39,,,,,,,0.162855,0.260155,,-0.092100,,0.256622,,,,,0.115213
6,gw,rter,joy,0.588830,39,,,,,,,0.230159,0.217765,,,,0.353144,,,,,0.061231
7,gw,rter,joy,0.605144,39,,,,,,,0.251546,0.256169,,,,0.351186,,,,,0.045855
8,gw,rter,joy,0.648823,39,,,,,,,,0.364325,,,,0.321182,,,,,0.077442
9,gw,rter,joy,0.686553,39,,,,,,,,0.382570,,,,0.364575,,,,,0.058051
10,gw,rter,joy,0.713098,39,,,,,,,,0.439320,,-0.106058,,0.368977,,,,,0.072374
11,gw,rter,joy,0.759558,39,,,,,,,,0.410154,,,,0.401065,,,,,0.045437
12,gw,rter,joy,0.718986,39,,,,,,,,0.452775,,-0.104888,,0.360350,,,,,0.079172
13,gw,rter,joy,0.674099,39,,,,,,,,0.450250,,-0.117780,,0.390758,,,,,0.075909
14,gw,rter,joy,0.683818,39,,,,,,,,0.504849,,-0.127788,,0.368869,,,,,0.070292
15,gw,rter,joy,0.731259,39,,,,,,,,0.467060,,,,0.380422,,,,,0.043274
16,gw,rter,joy,0.670954,39,,,,,,,,0.382674,,-0.131859,,0.376392,,,,0.133659,0.072156
17,gw,rter,joy,0.670464,39,,,,,,,,0.294819,,-0.134979,,0.404264,,,,0.137695,0.095795
18,gw,rter,joy,0.666433,39,,,,,,,,0.258485,,-0.109937,,0.427855,,,,0.141989,0.092244
19,gw,rter,joy,0.683821,39,,,,,,,,0.254626,,-0.115063,,0.435524,,,,0.145913,0.093880
20,gw,rter,joy,0.690696,39,,,,,,,,0.237558,,-0.123135,,0.432942,,,,0.157645,0.095231
21,gw,rter,joy,0.714365,39,,,,,,,0.439610,,,-0.114066,,0.483636,,,,0.174314,0.070756
22,gw,rter,joy,0.712777,39,,,,,,,0.442299,,,-0.117975,,0.481202,,,,0.178873,0.070458
23,gw,rter,joy,0.700727,39,,,,,,,,0.244712,,-0.143696,,0.456520,,,,0.162509,0.089818
24,gw,rter,joy,0.709789,39,,,,,,,,0.256144,,-0.140789,,0.456651,,,,0.164097,0.088212
25,gw,rter,joy,0.704599,39,,,,,,,,0.254757,,-0.139577,,0.463466,,,,0.169993,0.086295
