N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,tter,joy,0.335543,39,,,-0.459453,,,0.141248,,,,-0.122571,0.118665,0.234994,,,,0.105540,0.231143
6,gw,tter,joy,0.469045,39,,,,,,0.101611,,0.144472,,-0.067487,,0.228602,,,,,0.157102
7,gw,tter,joy,0.403756,39,,,,0.156963,,,0.173100,0.174026,,-0.113535,0.102458,0.249993,,,,,0.071733
8,gw,tter,joy,0.509181,39,,0.265339,-0.449184,0.147269,,,,0.249623,,-0.166770,0.218799,0.253995,,,,,0.078206
9,gw,tter,joy,0.596587,39,,0.242421,-0.443235,0.150507,,,,0.262549,,-0.182294,0.212139,0.264518,,,,,0.082535
10,gw,tter,joy,0.673473,39,,0.270849,-0.419447,0.157444,,,,0.269810,,-0.164208,0.185345,0.274262,,,,,0.061836
11,gw,tter,joy,0.681592,39,,0.241838,-0.365065,0.140157,,,,0.273126,,-0.137427,0.155399,0.268403,,,,,0.073794
12,gw,tter,joy,0.686103,39,,0.194899,-0.347156,0.131499,,,,0.279098,,-0.159247,0.169448,0.253011,,,,,0.097787
13,gw,tter,joy,0.639117,39,,,,0.127490,,-0.333651,0.424232,0.332927,,,,0.294809,,,,,0.072206
14,gw,tter,joy,0.634229,39,,,,0.122268,,-0.351997,0.455682,0.366555,,,,0.278686,,,,,0.069201
15,gw,tter,joy,0.653679,39,,,,0.104420,,-0.387117,0.453885,0.397602,,,,0.274142,,,,,0.081936
16,gw,tter,joy,0.575595,39,,,,0.103619,,-0.248824,0.444339,0.243933,-0.089029,,,0.268721,,,,0.086780,0.091938
17,gw,tter,joy,0.567627,39,,,,0.116108,,,,,-0.106967,,,0.301001,,,,0.111381,0.158927
18,gw,tter,joy,0.586489,39,,,,0.100397,,,,,,,,0.304807,,,,0.091427,0.145957
19,gw,tter,joy,0.621014,39,,,,,0.268678,,,,,-0.079410,,0.299941,,,,0.111007,0.140597
20,gw,tter,joy,0.606635,39,,,,0.141551,,,0.275502,,-0.105531,-0.087042,,0.341991,,0.131037,-0.161641,0.144969,0.106011
21,gw,tter,joy,0.657751,39,0.430854,-0.148663,,,,,0.287317,,,-0.117444,,0.338920,,,,0.121921,0.114225
22,gw,tter,joy,0.661379,39,0.410409,-0.146895,,,,,0.282754,,,-0.116753,,0.341269,,,,0.121190,0.118032
23,gw,tter,joy,0.649940,39,,,,0.114304,,,,,,-0.116374,,0.366357,,,,0.114199,0.153991
24,gw,tter,joy,0.659134,39,,,,0.119996,,,,,,-0.113577,,0.367092,,,,0.117003,0.153148
25,gw,tter,joy,0.660429,39,,,,0.123718,,,,,,-0.114339,,0.372519,,,,0.123340,0.149984
