N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,tter,joy,0.391962,39,,,,,,,,,,-0.059667,,0.209040,,,,,0.223597
6,gw,tter,joy,0.496212,39,,,,,,,,,,-0.059907,,0.259435,,,,,0.217945
7,gw,tter,joy,0.526941,39,,,,,,,,,,,,0.240295,,,,,0.201933
8,gw,tter,joy,0.503360,39,,,,0.178434,,,,,,,,0.251560,,,,,0.131620
9,gw,tter,joy,0.605229,39,,,,0.189881,,,,,,,,0.300938,,,,,0.115327
10,gw,tter,joy,0.659923,39,,,,0.211018,,,,,,,,0.318557,,,,,0.101957
11,gw,tter,joy,0.684920,39,,,,0.195572,,,,,,,,0.325185,,,,,0.112751
12,gw,tter,joy,0.670416,39,,,,0.173728,,,,,,,,0.313414,,,,,0.127273
13,gw,tter,joy,0.560744,39,,,,0.141539,,,,,,-0.074270,,0.345390,,,,,0.157248
14,gw,tter,joy,0.548073,39,,,,0.140513,,,,,,-0.076805,,0.335038,,,,,0.161694
15,gw,tter,joy,0.606937,39,,,,0.122008,,,,,,,,0.325813,,,,,0.150150
16,gw,tter,joy,0.528632,39,,,,0.112706,,,,,,-0.098730,,0.311099,,,,0.104046,0.160692
17,gw,tter,joy,0.544096,39,,,,0.117802,,,,,,-0.103702,,0.315431,,,,0.102923,0.161852
18,gw,tter,joy,0.567828,39,,,,0.109527,,,,,,-0.086355,,0.327346,,,,0.104549,0.157577
19,gw,tter,joy,0.588560,39,,,,0.097717,,,,,,-0.088120,,0.329270,,,,0.105701,0.163154
20,gw,tter,joy,0.647796,39,,,,0.117909,,,,,,-0.106484,,0.337628,,,,0.115384,0.155073
21,gw,tter,joy,0.674476,39,,,,0.119084,,,,,,-0.109568,,0.357738,,,,0.111604,0.153824
22,gw,tter,joy,0.679517,39,,,,0.110488,,,,,,-0.107574,,0.358567,,,,0.111379,0.156918
23,gw,tter,joy,0.657036,39,,,,0.115480,,,,,,-0.119657,,0.367912,,,,0.115116,0.153679
24,gw,tter,joy,0.665995,39,,,,0.121179,,,,,,-0.117185,,0.368568,,,,0.118053,0.152905
25,gw,tter,joy,0.667301,39,,,,0.124781,,,,,,-0.117846,,0.373854,,,,0.124381,0.149799
