N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,sadness,0.518462,39,,,,,,,0.155442,0.140574,,,,,,-0.102513,0.267804,,0.045375
6,gw,oter,sadness,0.457015,39,,,,,,,0.145650,0.140181,,,,,,-0.100968,0.236458,,0.049755
7,gw,oter,sadness,0.622359,39,,,0.421085,0.178076,,0.082729,,,,0.062817,,,,-0.056923,0.143898,,-0.000577
8,gw,oter,sadness,0.557422,39,,,0.422849,0.173380,,,0.144993,,,0.071053,,,,-0.059010,0.121462,,0.000644
9,gw,oter,sadness,0.621305,39,0.211081,,0.251295,0.122743,,,0.115966,,,0.055235,,,,-0.071914,0.137056,,0.009552
10,gw,oter,sadness,0.644960,39,0.252186,,0.246089,,,,0.099690,,,0.045072,,,,-0.079042,0.147715,,0.025265
11,gw,oter,sadness,0.641746,39,0.233536,,0.233685,,,,0.099965,,,0.051074,,,,-0.074901,0.123713,,0.030349
12,gw,oter,sadness,0.685822,39,0.197059,,0.242484,,,,0.098835,,,0.057200,,,,-0.067565,0.117139,,0.032774
13,gw,oter,sadness,0.686145,39,,,0.362972,,0.094830,,,,,0.066058,,,,-0.047253,0.099064,,0.037815
14,gw,oter,sadness,0.653750,39,0.135911,,0.239350,,0.097950,,,,,0.054424,,,,-0.053226,0.110282,,0.036817
15,gw,oter,sadness,0.605255,39,0.113835,,0.222258,,0.094656,,,,,0.049160,,,,-0.061318,0.129042,,0.041894
16,gw,oter,sadness,0.642400,39,,,0.382501,,,,,,,0.054776,,,,-0.061305,0.125785,,0.053675
17,gw,oter,sadness,0.659575,39,,,0.412891,,,,,,,0.044764,,,,-0.049955,0.105335,,0.053393
18,gw,oter,sadness,0.609100,39,,,0.371619,,0.104244,,,,,0.067312,-0.053972,,,-0.053555,0.115923,,0.044627
19,gw,oter,sadness,0.594787,39,,,0.336061,,,0.072920,,,,0.037561,,,,-0.046815,0.118821,,0.046649
20,gw,oter,sadness,0.590477,39,,,0.248454,,,0.076285,,0.144152,,,,,,-0.062703,0.170403,,0.042367
21,gw,oter,sadness,0.573898,39,,,0.223671,,,0.077643,,0.157652,,,,,,-0.062439,0.179038,,0.042416
22,gw,oter,sadness,0.537659,39,,,0.231635,,,0.072817,,0.146521,,,,,,,0.092136,,0.043887
23,gw,oter,sadness,0.530668,39,,,0.264109,,,,,0.135077,,,,,,,0.071817,,0.058911
24,gw,oter,sadness,0.489604,39,,,0.285088,,,,,,,,,,,,,,0.077087
25,gw,oter,sadness,0.468088,39,,,0.275818,,,,,,,,,,,,,,0.077010
