N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,sadness,0.354942,39,,,,,,,,,,,,,,-0.112587,0.248635,,0.080977
6,gw,oter,sadness,0.350306,39,,,0.188857,,,,,,,,,,,-0.114875,0.231556,,0.065437
7,gw,oter,sadness,0.532420,39,,,0.460195,,,,,,,0.057133,,,,-0.079154,0.156765,,0.034686
8,gw,oter,sadness,0.472046,39,,,0.472568,,,,,,,0.049367,,,,-0.090798,0.159163,,0.037711
9,gw,oter,sadness,0.493564,39,0.213528,,0.323059,,,,,,,0.040328,,,,-0.092319,0.154184,,0.034152
10,gw,oter,sadness,0.609476,39,0.254966,,0.269631,,,,,,,0.039953,,,,-0.080499,0.147933,,0.035180
11,gw,oter,sadness,0.606611,39,0.250227,,0.242279,,,,,,,0.041527,,,,-0.076973,0.124205,,0.040856
12,gw,oter,sadness,0.658696,39,0.202972,,0.261507,,,,,,,0.051352,,,,-0.067757,0.112183,,0.043013
13,gw,oter,sadness,0.653549,39,0.166738,,0.228151,,,,,,,0.047882,,,,-0.069068,0.126696,,0.050362
14,gw,oter,sadness,0.626625,39,0.192213,,0.203289,,,,,,,0.040300,,,,-0.070143,0.131654,,0.050974
15,gw,oter,sadness,0.613314,39,0.169076,,0.186358,,,,,,,0.039022,,,,-0.076010,0.145600,,0.054892
16,gw,oter,sadness,0.642400,39,,,0.382501,,,,,,,0.054776,,,,-0.061305,0.125785,,0.053675
17,gw,oter,sadness,0.659575,39,,,0.412891,,,,,,,0.044764,,,,-0.049955,0.105335,,0.053393
18,gw,oter,sadness,0.646409,39,,,0.387240,,,,,,,0.044153,,,,-0.046960,0.103015,,0.056028
19,gw,oter,sadness,0.605623,39,,,0.351148,,,,,,,0.041383,,,,-0.043892,0.102368,,0.059465
20,gw,oter,sadness,0.564521,39,,,0.313116,,,,,,,0.039048,,,,-0.040207,0.104956,,0.062619
21,gw,oter,sadness,0.528550,39,,,0.292204,,,,,,,,,,,,0.058863,,0.069016
22,gw,oter,sadness,0.465677,39,,,0.259789,,,,,,,,,,,,0.057354,,0.072007
23,gw,oter,sadness,0.499435,39,,,0.280297,,,,,,,,,,,,,,0.076484
24,gw,oter,sadness,0.489604,39,,,0.285088,,,,,,,,,,,,,,0.077087
25,gw,oter,sadness,0.468088,39,,,0.275818,,,,,,,,,,,,,,0.077010
