N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,rter,sadness,0.283279,39,,0.217738,-0.559064,,-0.222053,,0.481946,0.222767,,,0.182311,,0.219670,,,,0.025184
6,gw,rter,sadness,0.467516,39,,,,,,,0.286587,,,,0.271188,,,,0.129122,,0.039998
7,gw,rter,sadness,0.449535,39,0.289725,,,,-0.191423,,0.546601,,,0.096017,0.197679,0.071025,0.159885,,,,-0.019466
8,gw,rter,sadness,0.428299,39,0.762157,,-0.747018,,,-0.221561,0.623642,0.317788,,,0.166984,,,-0.129583,0.275367,,0.008255
9,gw,rter,sadness,0.517591,39,,,,,-0.324520,,0.772708,,,,0.284838,,0.348831,-0.110636,,,0.021034
10,gw,rter,sadness,0.501444,39,0.490673,,-0.407893,,-0.347249,,0.786732,,,,0.292349,,0.370185,-0.108677,,,0.007626
11,gw,rter,sadness,0.570474,39,,,,,,,0.449211,,,,0.348965,,0.187197,,,,0.012870
12,gw,rter,sadness,0.511958,39,0.408601,,-0.361272,,-0.238546,,0.666603,,,,0.300643,,0.306923,-0.117442,,,0.018456
13,gw,rter,sadness,0.665158,39,,,,,,,0.311749,,,,0.401463,,,,,,0.037899
14,gw,rter,sadness,0.676720,39,,,,,,,0.336147,,,,0.401926,,,,,,0.035751
15,gw,rter,sadness,0.687552,39,,,,,,,0.360161,,,,0.389714,,,,,,0.034917
16,gw,rter,sadness,0.668260,39,0.307600,,,-0.146043,,,0.294575,,,,0.401624,,,,,,0.028430
17,gw,rter,sadness,0.654932,39,,,,,,,0.284643,,,,0.388577,,,,,,0.042745
18,gw,rter,sadness,0.612528,39,,,,,,,0.265231,,,,0.391085,,,,,,0.044409
19,gw,rter,sadness,0.659070,39,,,,,,,0.275360,,,,0.393893,,,,,,0.043659
20,gw,rter,sadness,0.641764,39,,,,,,,0.264971,,,,0.398267,,,,,,0.044105
21,gw,rter,sadness,0.659163,39,0.336091,,,-0.158662,,,0.276140,,,,0.430452,,,,,,0.029580
22,gw,rter,sadness,0.609572,39,0.459817,,-0.345752,,,-0.197824,0.564452,,,,0.387533,,,,,0.076073,0.030658
23,gw,rter,sadness,0.587800,39,,,,,,-0.198698,0.415837,,,,0.411325,,,,,0.093912,0.052996
24,gw,rter,sadness,0.583813,39,,,,,,-0.209334,0.430240,,,,0.410434,,,,,0.097753,0.053352
25,gw,rter,sadness,0.544305,39,0.527458,,-0.338177,,,-0.282331,0.483624,,,,0.401150,,,,,0.087690,0.044055
