N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,rter,sadness,0.407961,39,,,,,,,0.235684,,,,0.248682,,,,,,0.057530
6,gw,rter,sadness,0.472714,39,,,,,,,0.269770,,,,0.284361,,,,,,0.053366
7,gw,rter,sadness,0.595346,39,,,,,,,0.367746,,,,0.256414,,,,,,0.038189
8,gw,rter,sadness,0.547212,39,,,,,,,0.411098,,,,0.248366,,,,,,0.035823
9,gw,rter,sadness,0.547538,39,,,,,,,0.372610,,,,0.322206,,,,,,0.036725
10,gw,rter,sadness,0.569207,39,,,,,,,0.363396,,,,0.329612,,,,,,0.037645
11,gw,rter,sadness,0.593371,39,,,,,,,0.391288,,,,0.354514,,,,,,0.034521
12,gw,rter,sadness,0.605935,39,,,,,,,0.371252,,,,0.359976,,,,,,0.036123
13,gw,rter,sadness,0.665158,39,,,,,,,0.311749,,,,0.401463,,,,,,0.037899
14,gw,rter,sadness,0.676720,39,,,,,,,0.336147,,,,0.401926,,,,,,0.035751
15,gw,rter,sadness,0.687552,39,,,,,,,0.360161,,,,0.389714,,,,,,0.034917
16,gw,rter,sadness,0.672148,39,,,,,,,0.292072,,,,0.377708,,,,,,0.041428
17,gw,rter,sadness,0.654932,39,,,,,,,0.284643,,,,0.388577,,,,,,0.042745
18,gw,rter,sadness,0.612528,39,,,,,,,0.265231,,,,0.391085,,,,,,0.044409
19,gw,rter,sadness,0.659070,39,,,,,,,0.275360,,,,0.393893,,,,,,0.043659
20,gw,rter,sadness,0.641764,39,,,,,,,0.264971,,,,0.398267,,,,,,0.044105
21,gw,rter,sadness,0.675195,39,,,,,,,0.298290,,,,0.404431,,,,,,0.040882
22,gw,rter,sadness,0.681607,39,,,,,,,0.320944,,,,0.426039,,,,,,0.038093
23,gw,rter,sadness,0.618288,39,,,,,,,,,,,0.441874,,,,,,0.068440
24,gw,rter,sadness,0.618900,39,,,,,,,,,,,0.450267,,,,,,0.068354
25,gw,rter,sadness,0.632869,39,,,,,,,,,,,0.467988,,,,,,0.066645
