N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,tter,sadness,0.390286,39,,,-0.249880,,-0.314319,,0.549507,0.246753,,,,,0.340370,-0.071062,,,0.054969
6,gw,tter,sadness,0.473592,39,,,,,,,0.245324,,,,0.129833,,,-0.084171,0.220297,,0.050910
7,gw,tter,sadness,0.693097,39,,0.177314,,,,,0.335629,0.131523,,0.079945,0.121459,,0.280497,-0.068362,,,-0.030888
8,gw,tter,sadness,0.603214,39,0.242803,,,,,,0.330309,0.182635,,,0.130054,,0.191438,-0.112510,0.127368,,-0.006391
9,gw,tter,sadness,0.584992,39,,0.185994,,,,,0.359878,,,0.069640,0.157638,,0.275773,-0.088584,,,-0.013312
10,gw,tter,sadness,0.570932,39,0.304791,,,,-0.178262,,0.520499,,,0.073065,0.123835,,0.291714,-0.091026,,,0.000081
11,gw,tter,sadness,0.554261,39,0.237158,,,,,,0.310486,,,,0.187641,,0.155402,-0.106118,0.111564,,0.018491
12,gw,tter,sadness,0.580952,39,,0.151390,,,,,0.311516,,,0.083810,0.156163,,0.114519,,,,0.003336
13,gw,tter,sadness,0.594002,39,0.234798,,,,,,0.217483,,,,0.230855,,,-0.078369,0.146160,,0.032714
14,gw,tter,sadness,0.608887,39,0.238909,,,,,,0.233080,,,,0.230563,,,-0.076878,0.146789,,0.030786
15,gw,tter,sadness,0.611107,39,0.222584,,,,,,0.236667,,,,0.225816,,,-0.077224,0.154969,,0.032371
16,gw,tter,sadness,0.600507,39,0.219028,,,,,,0.201661,0.190438,,,0.197179,,,-0.063770,0.156183,,0.018942
17,gw,tter,sadness,0.686209,39,0.330213,,,,,,0.189006,,,,0.225488,,,,,,0.033642
18,gw,tter,sadness,0.541677,39,0.243118,,,,,,0.193092,0.196390,,,0.191789,,,-0.075307,0.172389,,0.019908
19,gw,tter,sadness,0.671818,39,0.287619,,,,,,0.197380,,,,0.223398,,,,,,0.037528
20,gw,tter,sadness,0.411961,39,0.289912,,,-0.121370,0.211146,-0.158506,0.198581,,,,0.218061,,-0.150783,,0.139770,0.051826,0.046744
21,gw,tter,sadness,0.577052,39,0.179860,,,,,,0.237997,0.244779,,,0.190300,,,-0.073783,0.191817,,0.015603
22,gw,tter,sadness,0.663832,39,0.204790,,,,,,0.241441,0.237138,,,0.212993,,,,0.094919,,0.011919
23,gw,tter,sadness,0.467966,39,0.182751,,,,,,0.171472,0.293908,,,0.184834,,,-0.073120,0.199031,,0.017880
24,gw,tter,sadness,0.533082,39,0.237052,,,,,,0.154327,0.235973,,,0.209598,,,,0.112772,,0.018481
25,gw,tter,sadness,0.622729,39,0.297681,,,,,,,,,,0.268479,,,,,,0.055264
