N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,tter,sadness,0.410979,39,,,,,,,0.232783,,,,0.105590,,,-0.081010,0.225171,,0.052375
6,gw,tter,sadness,0.473592,39,,,,,,,0.245324,,,,0.129833,,,-0.084171,0.220297,,0.050910
7,gw,tter,sadness,0.621816,39,0.271336,,,,,,0.280069,,,,0.144561,,,-0.084333,0.188220,,0.019114
8,gw,tter,sadness,0.621132,39,0.297584,,,,,,0.295948,,,,0.131599,,,-0.098334,0.194989,,0.018412
9,gw,tter,sadness,0.591367,39,0.308391,,,,,,0.271426,,,,0.169518,,,-0.106648,0.195292,,0.020457
10,gw,tter,sadness,0.615562,39,0.283125,,,,,,0.253468,,,,0.172984,,,-0.096782,0.202168,,0.023764
11,gw,tter,sadness,0.590124,39,0.248806,,,,,,0.268857,,,,0.186088,,,-0.096628,0.182808,,0.027422
12,gw,tter,sadness,0.603769,39,0.222711,,,,,,0.266509,,,,0.186688,,,-0.100978,0.178888,,0.031471
13,gw,tter,sadness,0.594002,39,0.234798,,,,,,0.217483,,,,0.230855,,,-0.078369,0.146160,,0.032714
14,gw,tter,sadness,0.608887,39,0.238909,,,,,,0.233080,,,,0.230563,,,-0.076878,0.146789,,0.030786
15,gw,tter,sadness,0.611107,39,0.222584,,,,,,0.236667,,,,0.225816,,,-0.077224,0.154969,,0.032371
16,gw,tter,sadness,0.702203,39,0.282082,,,,,,0.196640,,,,0.224533,,,,,,0.035960
17,gw,tter,sadness,0.686209,39,0.330213,,,,,,0.189006,,,,0.225488,,,,,,0.033642
18,gw,tter,sadness,0.670008,39,0.310339,,,,,,0.179860,,,,0.224312,,,,,,0.036667
19,gw,tter,sadness,0.671818,39,0.287619,,,,,,0.197380,,,,0.223398,,,,,,0.037528
20,gw,tter,sadness,0.662739,39,0.254765,,,,,,0.193859,,,,0.225372,,,,,,0.040613
21,gw,tter,sadness,0.673106,39,0.239968,,,,,,0.217685,,,,0.228675,,,,,,0.039763
22,gw,tter,sadness,0.673744,39,0.232282,,,,,,0.230754,,,,0.242951,,,,,,0.038908
23,gw,tter,sadness,0.596618,39,0.270668,,,,,,,,,,0.254849,,,,,,0.058519
24,gw,tter,sadness,0.600867,39,0.287614,,,,,,,,,,0.258945,,,,,,0.057914
25,gw,tter,sadness,0.622729,39,0.297681,,,,,,,,,,0.268479,,,,,,0.055264
