N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,sadness,0.015358,39,,,,,,,,,,,,,,-0.154315,0.144602,,0.149751
6,gw,oter,sadness,0.107638,39,,,,,,,,,,,,,,-0.079147,,,0.156089
7,gw,oter,sadness,0.700682,39,,0.231453,,0.205129,,,,,-0.059852,,,,,,,0.061972,-0.015804
8,gw,oter,sadness,0.409188,39,0.321409,0.167348,,,,,,,-0.068563,,,,-0.095466,-0.074693,0.167086,0.070991,0.031431
9,gw,oter,sadness,0.697171,39,0.340487,0.151287,,,,,,,-0.089290,,,,-0.098722,,0.107490,0.083283,0.032224
10,gw,oter,sadness,0.731379,39,,0.097307,0.290759,0.072237,,,,,-0.040936,,,,,,,0.046687,0.038864
11,gw,oter,sadness,0.755815,39,,,0.495801,,,,,,,,,,,-0.104858,0.111839,,0.072096
12,gw,oter,sadness,0.763102,39,,,0.456978,,,,,,,,,,,-0.096078,0.095989,,0.079625
13,gw,oter,sadness,0.760556,39,,,0.400962,,,,0.120458,,,,,,,-0.080991,0.089315,,0.067665
14,gw,oter,sadness,0.759350,39,,,0.402244,,,,0.114630,,,,,,,-0.080415,0.089068,,0.068581
15,gw,oter,sadness,0.807683,39,,,0.370680,,,,0.134766,,-0.047811,,,,,,,0.045396,0.066962
16,gw,oter,sadness,0.849998,39,,,0.410917,,,0.137179,,-0.089755,-0.068415,,,,,,,0.051856,0.077898
17,gw,oter,sadness,0.849848,39,,,0.423877,,,0.133367,,-0.083793,-0.072314,,,,,,,0.049143,0.077429
18,gw,oter,sadness,0.830070,39,,,0.401468,,,,0.154465,,-0.067456,,,,,,,0.038233,0.068894
19,gw,oter,sadness,0.819971,39,,,0.370761,,,,0.125007,,-0.068140,,,,,,,0.040152,0.078723
20,gw,oter,sadness,0.806125,39,,,0.350939,,,,0.139182,,-0.070439,,,,,,,0.043223,0.079158
21,gw,oter,sadness,0.761551,39,,,0.313153,,,,0.124014,,-0.069842,,,,,,,0.041895,0.087677
22,gw,oter,sadness,0.733611,39,,,0.283062,,,,0.122449,,-0.073652,,,,,,,0.041438,0.093543
23,gw,oter,sadness,0.746014,39,-0.106161,,0.409014,,,,,,-0.056349,,,,,,,0.035539,0.114132
24,gw,oter,sadness,0.731842,39,-0.097746,,0.404449,,,,,,-0.053679,,,,,,,0.033780,0.114930
25,gw,oter,sadness,0.706090,39,-0.102215,,0.392564,,,,,,-0.061122,,,,,,,0.034604,0.116632
