N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,sadness,-0.414619,39,,,,,,,,,,,,,,,,,0.140179
6,gw,oter,sadness,-0.407713,39,,,,,,,,,,,,,,,,,0.141473
7,gw,oter,sadness,0.580413,39,,,0.565030,,,,,,,,,,,,,,0.048392
8,gw,oter,sadness,0.568567,39,,,0.594166,,,,,,,,,,,,,,0.045294
9,gw,oter,sadness,0.669220,39,,,0.561831,,,,,,-0.044432,,,,,,,0.044163,0.053373
10,gw,oter,sadness,0.772897,39,,,0.574322,,,,,,,,,,,,,,0.053081
11,gw,oter,sadness,0.749921,39,,,0.515411,,,,0.121103,,-0.035623,,,,,,,0.036476,0.040644
12,gw,oter,sadness,0.749133,39,,,0.471877,,,,0.113013,,-0.034115,,,,,,,0.034605,0.050208
13,gw,oter,sadness,0.781671,39,,,0.415631,,,,0.140753,,-0.035539,,,,,,,0.033951,0.057974
14,gw,oter,sadness,0.782026,39,,,0.417585,,,,0.139047,,-0.034992,,,,,,,0.033214,0.058241
15,gw,oter,sadness,0.799104,39,,,0.373535,,,,0.145559,,-0.045263,,,,,,,0.044037,0.064562
16,gw,oter,sadness,0.839792,39,,,0.415649,,,,0.143678,,-0.053407,,,,,,,0.039071,0.064002
17,gw,oter,sadness,0.848778,39,,,0.429640,,,,0.148416,,-0.064160,,,,,,,0.037535,0.065051
18,gw,oter,sadness,0.822242,39,,,0.405832,,,,0.163313,,-0.065017,,,,,,,0.037271,0.066598
19,gw,oter,sadness,0.812462,39,,,0.374481,,,,0.130417,,-0.064826,,,,,,,0.038793,0.077063
20,gw,oter,sadness,0.798042,39,,,0.353807,,,,0.143815,,-0.067090,,,,,,,0.041713,0.077807
21,gw,oter,sadness,0.752889,39,,,0.314940,,,,0.127039,,-0.067052,,,,,,,0.040571,0.086859
22,gw,oter,sadness,0.711661,39,,,0.284654,,,,0.124582,,-0.070756,,,,,,,0.040146,0.092896
23,gw,oter,sadness,0.743043,39,,,0.294937,,,,,,-0.061486,,,,,,,0.037210,0.112711
24,gw,oter,sadness,0.727361,39,,,0.300147,,,,,,-0.057451,,,,,,,0.035069,0.113486
25,gw,oter,sadness,0.696278,39,,,0.284353,,,,,,-0.063712,,,,,,,0.035553,0.115053
