N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,sadness,0.0154,39,,,,,,,,,,,,,,-0.1543,0.1446,,0.1498
6,gw,oter,sadness,0.1076,39,,,,,,,,,,,,,,-0.0791,,,0.1561
7,gw,oter,sadness,0.7007,39,,0.2315,,0.2051,,,,,-0.0599,,,,,,,0.0620,-0.0158
8,gw,oter,sadness,0.4092,39,0.3214,0.1673,,,,,,,-0.0686,,,,-0.0955,-0.0747,0.1671,0.0710,0.0314
9,gw,oter,sadness,0.6972,39,0.3405,0.1513,,,,,,,-0.0893,,,,-0.0987,,0.1075,0.0833,0.0322
10,gw,oter,sadness,0.7314,39,,0.0973,0.2908,0.0722,,,,,-0.0409,,,,,,,0.0467,0.0389
11,gw,oter,sadness,0.7558,39,,,0.4958,,,,,,,,,,,-0.1049,0.1118,,0.0721
12,gw,oter,sadness,0.7631,39,,,0.4570,,,,,,,,,,,-0.0961,0.0960,,0.0796
13,gw,oter,sadness,0.7606,39,,,0.4010,,,,0.1205,,,,,,,-0.0810,0.0893,,0.0677
14,gw,oter,sadness,0.7594,39,,,0.4022,,,,0.1146,,,,,,,-0.0804,0.0891,,0.0686
15,gw,oter,sadness,0.8077,39,,,0.3707,,,,0.1348,,-0.0478,,,,,,,0.0454,0.0670
16,gw,oter,sadness,0.8500,39,,,0.4109,,,0.1372,,-0.0898,-0.0684,,,,,,,0.0519,0.0779
17,gw,oter,sadness,0.8498,39,,,0.4239,,,0.1334,,-0.0838,-0.0723,,,,,,,0.0491,0.0774
18,gw,oter,sadness,0.8301,39,,,0.4015,,,,0.1545,,-0.0675,,,,,,,0.0382,0.0689
19,gw,oter,sadness,0.8200,39,,,0.3708,,,,0.1250,,-0.0681,,,,,,,0.0402,0.0787
20,gw,oter,sadness,0.8061,39,,,0.3509,,,,0.1392,,-0.0704,,,,,,,0.0432,0.0792
21,gw,oter,sadness,0.7616,39,,,0.3132,,,,0.1240,,-0.0698,,,,,,,0.0419,0.0877
22,gw,oter,sadness,0.7336,39,,,0.2831,,,,0.1224,,-0.0737,,,,,,,0.0414,0.0935
23,gw,oter,sadness,0.7460,39,-0.1062,,0.4090,,,,,,-0.0563,,,,,,,0.0355,0.1141
24,gw,oter,sadness,0.7318,39,-0.0977,,0.4044,,,,,,-0.0537,,,,,,,0.0338,0.1149
25,gw,oter,sadness,0.7061,39,-0.1022,,0.3926,,,,,,-0.0611,,,,,,,0.0346,0.1166
