N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,sadness,-0.4160,39,,,,,,,,,,,,,,,,,0.1398
6,gw,oter,sadness,-0.4090,39,,,,,,,,,,,,,,,,,0.1411
7,gw,oter,sadness,0.5832,39,,,0.5558,,,,,,,,,,,,,,0.0498
8,gw,oter,sadness,0.5734,39,,,0.5905,,,,,,,,,,,,,,0.0458
9,gw,oter,sadness,0.6860,39,,,0.5552,,,,,,-0.0491,,,,,,,0.0472,0.0547
10,gw,oter,sadness,0.7484,39,,,0.5479,,,,,,-0.0335,,,,,,,0.0350,0.0568
11,gw,oter,sadness,0.7678,39,,,0.5097,,,,,,-0.0378,,,,,,,0.0367,0.0642
12,gw,oter,sadness,0.7841,39,,,0.4708,,,,,,-0.0386,,,,,,,0.0356,0.0718
13,gw,oter,sadness,0.7827,39,,,0.4127,,,,,,-0.0379,,,,,,,0.0339,0.0837
14,gw,oter,sadness,0.7823,39,,,0.4134,,,,,,-0.0367,,,,,,,0.0335,0.0834
15,gw,oter,sadness,0.8134,39,,,0.3707,,,,,,-0.0460,,,,,,,0.0434,0.0903
16,gw,oter,sadness,0.8403,39,,,0.4113,,,,,,-0.0531,,,,,,,0.0414,0.0887
17,gw,oter,sadness,0.8445,39,,,0.4222,,,,,,-0.0574,,,,,,,0.0388,0.0889
18,gw,oter,sadness,0.8212,39,,,0.3998,,,,,,-0.0483,,,,,,,0.0364,0.0911
19,gw,oter,sadness,0.8157,39,,,0.3693,,,,,,-0.0541,,,,,,,0.0392,0.0967
20,gw,oter,sadness,0.7999,39,,,0.3475,,,,,,-0.0555,,,,,,,0.0415,0.1000
21,gw,oter,sadness,0.7774,39,,,0.3154,,,,,,-0.0585,,,,,,,0.0411,0.1058
22,gw,oter,sadness,0.7516,39,,,0.2848,,,,,,-0.0628,,,,,,,0.0406,0.1117
23,gw,oter,sadness,0.7520,39,,,0.2944,,,,,,-0.0641,,,,,,,0.0386,0.1127
24,gw,oter,sadness,0.7414,39,,,0.2999,,,,,,-0.0606,,,,,,,0.0365,0.1135
25,gw,oter,sadness,0.7131,39,,,0.2843,,,,,,-0.0673,,,,,,,0.0371,0.1151
