N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,rter,sadness,0.403054,39,-0.445667,0.473949,,0.363839,,-0.224844,0.350242,,,,0.244510,,,,,,-0.108072
6,gw,rter,sadness,0.447381,39,,0.271054,,,,-0.151347,0.235751,,,,0.296852,,,-0.163374,0.267764,,0.023582
7,gw,rter,sadness,0.429413,39,,0.389265,,,0.192941,-0.184069,,,,,0.278067,,,,,,0.007505
8,gw,rter,sadness,0.347609,39,0.561246,,,,,-0.322411,0.661170,,,,0.184691,,,,,,-0.005674
9,gw,rter,sadness,0.492883,39,,0.311159,,,,-0.441358,0.704507,,,0.132055,0.214377,,,-0.170660,0.235796,,-0.000323
10,gw,rter,sadness,0.571591,39,,0.224419,,,,-0.315691,0.658843,,,,0.356022,,,,,,0.018050
11,gw,rter,sadness,0.547626,39,,0.209828,,,,-0.414302,0.726724,,,0.138781,0.222400,,,-0.172599,0.244312,,0.021287
12,gw,rter,sadness,0.562341,39,,0.189064,,,,-0.469588,0.788974,,,0.152489,0.230862,,,-0.192865,0.231487,,0.033657
13,gw,rter,sadness,0.562022,39,,0.168293,,,,-0.470800,0.868591,,,0.155235,0.259865,,,-0.179977,0.228296,,0.019049
14,gw,rter,sadness,0.555455,39,,0.171802,,,,-0.486745,0.862155,,,0.162594,0.259569,,,-0.176657,0.227575,,0.021093
15,gw,rter,sadness,0.584994,39,-0.272973,0.208222,,0.124237,-0.287727,-0.237630,0.862659,,,,0.428394,,,,,0.088962,0.008493
16,gw,rter,sadness,0.619129,39,-0.274491,0.202313,,0.151537,-0.320170,-0.233118,0.843018,,,,0.435664,,,-0.119462,0.173155,,0.035496
17,gw,rter,sadness,0.707614,39,,,,0.114125,,-0.317318,0.762310,,,,0.395246,,,,,,0.026528
18,gw,rter,sadness,0.648937,39,-0.174813,,0.403692,0.095604,-0.220576,-0.238617,0.644024,,,,0.458777,,-0.118704,,0.115514,0.055750,0.034595
19,gw,rter,sadness,0.717304,39,,,0.333125,,,-0.237798,0.540908,,,,0.436094,,-0.131525,,0.113036,0.056347,0.021397
20,gw,rter,sadness,0.790268,39,,,0.281856,,,-0.223848,0.597413,,,,0.411408,,,,,0.065346,0.010631
21,gw,rter,sadness,0.706005,39,,,0.247965,,,-0.245812,0.618113,,,,0.406587,,,,,0.063502,0.015415
22,gw,rter,sadness,0.697764,39,,-0.169663,0.364028,0.080462,,-0.304589,0.753437,,,,0.427567,,,,,0.059738,0.007279
23,gw,rter,sadness,0.748436,39,,,,,,-0.277149,0.596272,,,,0.439370,-0.092075,,,,0.101646,0.069038
24,gw,rter,sadness,0.752841,39,,,,,,-0.273096,0.597558,,,,0.437823,-0.092730,,,,0.104873,0.068198
25,gw,rter,sadness,0.743313,39,,,,,,-0.267129,0.584600,,,,0.440066,-0.089878,,,,0.101492,0.068393
