N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,rter,sadness,0.520252,39,,,,,,,,,,,0.234256,,,,,,0.125078
6,gw,rter,sadness,0.539472,39,,,,,,,,,,,0.275620,,,,,,0.124406
7,gw,rter,sadness,0.385879,39,,,0.463644,,,-0.158969,,,,,0.221555,,,,,,0.099318
8,gw,rter,sadness,0.093402,39,,,0.380155,,,-0.260907,0.537656,,,,0.180730,,,,,,0.054531
9,gw,rter,sadness,0.501280,39,,,0.442856,,,-0.319708,0.704902,,,,0.326532,,,,,,0.010127
10,gw,rter,sadness,0.553260,39,,,0.352635,,,-0.312565,0.697957,,,,0.335647,,,,,,0.024109
11,gw,rter,sadness,0.551362,39,,,0.334856,,,-0.293587,0.694387,,,,0.329774,,,,,,0.027498
12,gw,rter,sadness,0.578756,39,,,0.310539,,,-0.318590,0.696898,,,,0.336890,,,,,,0.038265
13,gw,rter,sadness,0.592359,39,,,0.269480,,,-0.312349,0.711188,,,,0.367787,,,,,,0.035259
14,gw,rter,sadness,0.557678,39,,,0.269681,,,-0.314742,0.683287,,,,0.369877,,,,,,0.040543
15,gw,rter,sadness,0.651618,39,,,0.247445,,,-0.233607,0.672795,,,,0.368037,,,,,,0.021589
16,gw,rter,sadness,0.683714,39,,,0.274124,,,-0.254438,0.672937,,,,0.369277,,,,,0.059396,0.009282
17,gw,rter,sadness,0.684345,39,,,0.321773,,,-0.286561,0.717549,,,,0.372452,,,,,0.054704,0.008852
18,gw,rter,sadness,0.757032,39,,,0.308831,,,-0.223705,0.552261,,,,0.407720,,,,,0.065984,0.012210
19,gw,rter,sadness,0.754537,39,,,0.311494,,,-0.205969,0.551464,,,,0.404666,,,,,0.060849,0.011234
20,gw,rter,sadness,0.787425,39,,,0.279587,,,-0.219508,0.583375,,,,0.408596,,,,,0.066240,0.012097
21,gw,rter,sadness,0.702948,39,,,0.242732,,,-0.239812,0.589046,,,,0.402784,,,,,0.064296,0.019648
22,gw,rter,sadness,0.720991,39,,,0.240302,,,-0.269528,0.632967,,,,0.407252,,,,,0.072396,0.019103
23,gw,rter,sadness,0.709963,39,,,0.217792,,,-0.296290,0.553484,,,,0.413564,,,,,0.089880,0.034765
24,gw,rter,sadness,0.712733,39,,,0.230841,,,-0.287236,0.549906,,,,0.411321,,,,,0.092754,0.032339
25,gw,rter,sadness,0.714139,39,,,0.221730,,,-0.285939,0.539671,,,,0.413505,,,,,0.091178,0.034385
