N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,tter,sadness,0.361959,39,-0.315973,0.281701,,,,,,,,,0.145175,,,-0.152795,0.204448,,0.104641
6,gw,tter,sadness,0.424658,39,,0.203065,,,,,,,,,0.144664,,,-0.173001,0.232955,,0.066300
7,gw,tter,sadness,0.608723,39,,0.342361,,0.155585,,-0.081088,,,,,0.125293,0.054229,,-0.061870,0.151208,,-0.040463
8,gw,tter,sadness,0.529103,39,0.578666,,,,,-0.196941,0.440702,,,,0.092104,,,-0.145934,0.215667,,-0.003292
9,gw,tter,sadness,0.604045,39,,0.258337,,0.102820,,-0.220325,0.408717,,,,0.187784,,,-0.092042,0.143756,,-0.004088
10,gw,tter,sadness,0.629641,39,,0.274646,,,,-0.168990,0.342255,,,,0.211507,,,-0.121456,0.170296,,0.030224
11,gw,tter,sadness,0.664114,39,,,0.487301,,,-0.291653,0.509193,,,0.143946,,,,-0.155504,0.213331,,0.031762
12,gw,tter,sadness,0.683576,39,,,0.462655,,,-0.323644,0.557182,,,0.153679,,,,-0.157655,0.204120,,0.036420
13,gw,tter,sadness,0.695592,39,,,0.367633,,,-0.285012,0.595076,,,0.097727,0.125379,,,-0.142032,0.175181,,0.034299
14,gw,tter,sadness,0.688548,39,,,0.374708,,,-0.288705,0.585252,,,0.100802,0.125506,,,-0.137424,0.173712,,0.034572
15,gw,tter,sadness,0.690137,39,,,0.215229,0.062398,-0.199796,,0.560855,-0.130299,,,0.251090,,,-0.106887,0.129421,0.050127,0.041916
16,gw,tter,sadness,0.770794,39,,,0.256113,0.072531,-0.156655,,0.530840,-0.139472,-0.064536,,0.242746,,,,,0.069027,0.040026
17,gw,tter,sadness,0.780894,39,,,0.376370,,,,0.421790,-0.136434,-0.066478,,0.229090,,,,,0.065334,0.036574
18,gw,tter,sadness,0.807736,39,,,0.373937,,,,0.315606,-0.128795,,,0.239234,,,,,0.057324,0.037609
19,gw,tter,sadness,0.752974,39,,,0.344388,,,-0.138298,0.350210,,,,0.254391,,-0.100714,-0.088414,0.172840,,0.061737
20,gw,tter,sadness,0.818869,39,,,0.329639,,,,0.317288,-0.124274,,,0.237620,,,,,0.054702,0.045088
21,gw,tter,sadness,0.693793,39,,,0.290006,,,-0.124088,0.384615,,,,0.229964,,,-0.089217,0.123968,,0.052906
22,gw,tter,sadness,0.688897,39,,-0.069644,0.342474,,,-0.146347,0.440027,,,,0.236424,-0.042491,,-0.089906,0.110237,0.041933,0.061096
23,gw,tter,sadness,0.736315,39,,,0.277120,,,-0.177150,0.334488,,,,0.228391,,,,,0.058804,0.061255
24,gw,tter,sadness,0.741727,39,,,0.285886,,,-0.165684,0.321088,,,,0.230052,,,,,0.059803,0.060431
25,gw,tter,sadness,0.741475,39,,,0.272855,,,-0.167918,0.318698,,,,0.231228,,,,,0.059111,0.062129
