N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,tter,sadness,0.376062,39,,,,,,,0.084585,,,,0.149049,,,-0.145493,0.189735,,0.113101
6,gw,tter,sadness,0.351684,39,,,,,,,0.088812,,,,0.170579,,,-0.152735,0.191520,,0.113778
7,gw,tter,sadness,0.487009,39,,,0.510917,,,-0.079522,,,,,0.111018,,,-0.115405,0.169987,,0.074317
8,gw,tter,sadness,0.400987,39,,,0.453265,,,,,,,,0.069360,,,-0.127110,0.186192,,0.071803
9,gw,tter,sadness,0.558370,39,,,0.508056,,,-0.207829,0.463911,,,,0.175494,,,-0.110261,0.138764,,0.025965
10,gw,tter,sadness,0.621281,39,,,0.471068,,,-0.176019,0.428606,,,,0.190933,,,-0.104588,0.150573,,0.026408
11,gw,tter,sadness,0.612432,39,,,0.440830,,,-0.165540,0.425962,,,,0.177196,,,-0.101096,0.153292,,0.033316
12,gw,tter,sadness,0.661935,39,,,0.384683,,,-0.201307,0.451131,,,,0.191926,,,-0.108058,0.132957,,0.050814
13,gw,tter,sadness,0.667190,39,,,0.361266,,,-0.182627,0.472421,,,,0.199698,,,,,,0.042166
14,gw,tter,sadness,0.635324,39,,,0.361876,,,-0.181020,0.452183,,,,0.201224,,,,,,0.045054
15,gw,tter,sadness,0.700434,39,,,0.305716,,,-0.142495,0.449452,,,,0.216123,,,-0.085531,0.108715,,0.042516
16,gw,tter,sadness,0.731248,39,,,0.334471,,,-0.159743,0.453275,,,,0.213743,,,-0.076406,0.092430,0.034720,0.036138
17,gw,tter,sadness,0.733609,39,,,0.372254,,,-0.177207,0.470985,,,,0.212478,,,-0.091036,0.111905,,0.045307
18,gw,tter,sadness,0.761775,39,,,0.369166,,,-0.135572,0.376705,,,,0.225592,,,-0.052551,0.079605,0.038234,0.035118
19,gw,tter,sadness,0.750148,39,,,0.351100,,,-0.122094,0.370007,,,,0.223773,,,-0.065346,0.092861,0.033806,0.039012
20,gw,tter,sadness,0.783685,39,,,0.328347,,,-0.130183,0.387258,,,,0.224777,,,-0.060769,0.092706,0.038636,0.039462
21,gw,tter,sadness,0.696744,39,,,0.290046,,,-0.137802,0.382862,,,,0.225775,,,-0.070071,0.102280,0.035938,0.047126
22,gw,tter,sadness,0.714398,39,,,0.274414,,,-0.150000,0.399117,,,,0.225404,,,-0.075085,0.110703,0.041797,0.049054
23,gw,tter,sadness,0.705157,39,,,0.270888,,,-0.158978,0.311122,,,,0.227114,,,-0.075845,0.121490,0.051479,0.061932
24,gw,tter,sadness,0.743321,39,,,0.283334,,,-0.165001,0.312963,,,,0.230206,,,,,0.059555,0.062045
25,gw,tter,sadness,0.743215,39,,,0.270545,,,-0.167375,0.310937,,,,0.231599,,,,,0.058859,0.063655
