N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,tter,fear,0.462457,39,,,,,,,,,-0.083877,0.139766,,,-0.302595,,0.346450,,0.118432
6,gw,tter,fear,0.446643,39,,,,,,,,,-0.102724,0.165712,,,-0.280139,,0.309554,,0.119784
7,gw,tter,fear,0.680045,39,0.519400,,,,,,,,,0.179544,,,-0.180326,,0.202153,,0.055521
8,gw,tter,fear,0.711197,39,0.577623,,,,,,,,,0.198022,,,-0.220519,,0.199313,,0.053464
9,gw,tter,fear,0.743730,39,0.636487,,,,,,,,-0.092080,0.232541,,,-0.243829,,0.210920,,0.057362
10,gw,tter,fear,0.771582,39,0.610335,,,,,,,,-0.092260,0.234669,,,-0.225024,,0.196473,,0.061580
11,gw,tter,fear,0.778056,39,0.547210,,,,,,,,-0.075288,0.261690,,,-0.240863,,0.182713,,0.067426
12,gw,tter,fear,0.739861,39,0.496364,,,,,,,,-0.074358,0.268372,,,-0.212708,,0.169685,,0.070787
13,gw,tter,fear,0.741060,39,0.407180,,,,,,,,-0.079632,0.264116,,,-0.210865,,0.161912,,0.081199
14,gw,tter,fear,0.778570,39,0.411108,,,,,,,,,0.251263,,,-0.170293,,0.145842,,0.073383
15,gw,tter,fear,0.782296,39,0.409834,,,,,,,,-0.074522,0.274687,,,-0.180009,,0.157909,,0.078431
16,gw,tter,fear,0.790418,39,0.421760,,,,,,,,-0.107894,0.272158,,,-0.180771,,0.146586,,0.084045
17,gw,tter,fear,0.770725,39,0.459812,,,,,,,,-0.121565,0.264174,,,-0.183773,,0.137453,,0.085475
18,gw,tter,fear,0.788513,39,0.427747,,,,,,,,-0.124674,0.267352,,,-0.219768,,0.168839,,0.089115
19,gw,tter,fear,0.786576,39,0.388719,,,,,,,,-0.117984,0.275600,,,-0.211970,,0.160248,,0.091749
20,gw,tter,fear,0.803423,39,0.306111,,,,,,,,-0.121239,0.282645,,,-0.154757,,0.140297,,0.096439
21,gw,tter,fear,0.787766,39,0.291736,,,,,,,,-0.123752,0.267585,,,-0.083582,,,,0.105790
22,gw,tter,fear,0.791957,39,0.287461,,,,,,,,-0.100306,0.267849,,,,,,,0.097341
23,gw,tter,fear,0.750604,39,0.299820,,,,,,,,-0.155228,0.270634,,,,,,,0.100028
24,gw,tter,fear,0.755944,39,0.317767,,,,,,,,-0.159131,0.273876,,,,,,,0.099477
25,gw,tter,fear,0.752196,39,0.321893,,,,,,,,-0.158261,0.274326,,,,,,,0.098255
