N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,tter,fear,0.350445,39,,,-0.367083,,,0.231907,-0.213007,,-0.071514,,0.184410,,-0.315384,,0.242022,,0.278749
6,gw,tter,fear,0.292029,39,-0.442937,,,,,0.194833,-0.167767,,,,0.222771,,-0.269861,,0.190609,,0.288253
7,gw,tter,fear,0.529208,39,,0.192904,,0.276674,,0.119057,-0.217002,,-0.122729,0.154748,,,-0.164404,,0.220826,,0.039401
8,gw,tter,fear,0.529227,39,,0.211871,,0.267362,,,,,,0.111911,,,-0.182546,,0.201718,,0.025526
9,gw,tter,fear,0.565919,39,,0.215516,,0.208842,,,,,-0.105854,0.205405,,,-0.197571,,0.219824,,0.053064
10,gw,tter,fear,0.570619,39,,0.195807,,0.157979,,,,,,0.154144,,,-0.103224,,0.141200,,0.066946
11,gw,tter,fear,0.464838,39,,0.189685,,0.103161,,,,,,0.109139,0.134129,,-0.191196,,0.162786,,0.097534
12,gw,tter,fear,0.442203,39,,0.287114,-0.306006,0.101259,,,,,,,0.290650,,-0.267226,,0.171843,,0.141218
13,gw,tter,fear,0.545419,39,,0.206973,,,,,,,,0.196363,,,,,,,0.119205
14,gw,tter,fear,0.542013,39,,0.207259,,,,,,,,0.195349,,,,,,,0.119629
15,gw,tter,fear,0.676819,39,,0.221645,,,,,,,,0.250587,,,-0.152333,-0.131077,0.283207,,0.115357
16,gw,tter,fear,0.651697,39,,0.220269,,,,,,,,0.212292,,,,,,,0.117776
17,gw,tter,fear,0.642243,39,,0.246610,,,,,,,,0.200378,,,,,,,0.116629
18,gw,tter,fear,0.689027,39,,0.188439,,,,,,,,0.268348,,-0.070870,-0.146676,-0.146145,0.244127,,0.153309
19,gw,tter,fear,0.692781,39,,0.171385,,,,,,,,0.280150,,-0.072529,-0.169742,-0.170819,0.278799,,0.160299
20,gw,tter,fear,0.689218,39,,,0.284784,,,,,,,0.255054,,,-0.142290,-0.119886,0.239895,,0.146591
21,gw,tter,fear,0.698312,39,,,0.263159,,,,,,,0.251806,,,-0.146580,-0.137476,0.247949,,0.153912
22,gw,tter,fear,0.672149,39,,,,,,,,,,0.278391,,-0.088272,,-0.245683,0.201081,,0.208747
23,gw,tter,fear,0.643759,39,,,,,,,,,,0.278684,,-0.093500,,-0.259910,0.237162,,0.207341
24,gw,tter,fear,0.670987,39,,0.145182,,,,,,,,0.220726,,,,,,,0.146600
25,gw,tter,fear,0.672766,39,,0.152814,,,,,,,,0.224603,,,,,,,0.143742
