N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
8,gw,oter,fear,0.446292,52,,0.377122,,,,,,0.163820,0.112975,,,,,,,,0.039914
9,gw,oter,fear,0.520306,52,,0.388728,,,,,,0.210285,,,,,,,,,0.043375
10,gw,oter,fear,0.598897,52,,0.393681,,,,,,0.227545,,,,,,,,,0.042724
11,gw,oter,fear,0.628816,52,,0.383475,,,,,,0.237887,,,,,,,,,0.045492
12,gw,oter,fear,0.591195,52,,0.478259,-0.314023,,,,,0.338187,,,,-0.054486,,,,,0.050464
13,gw,oter,fear,0.600252,52,,0.486231,-0.368816,,,,,0.343935,,,,-0.069213,,,,,0.055290
14,gw,oter,fear,0.612988,52,,0.548201,-0.459877,,,,,0.412193,,,,-0.072594,,,,,0.047459
15,gw,oter,fear,0.630991,52,,0.516541,-0.497026,,,,,0.442880,-0.089442,,,-0.079925,,,,,0.064077
16,gw,oter,fear,0.608992,52,,0.500611,-0.434765,,,,,0.415032,,,,-0.065930,,,,,0.055391
17,gw,oter,fear,0.624138,52,,0.513920,-0.512007,,,,,0.451682,-0.102046,,,-0.078328,,,,,0.067748
18,gw,oter,fear,0.593620,52,,0.478628,-0.472604,,,,,0.477902,-0.095251,,,-0.073329,,,,,0.067695
19,gw,oter,fear,0.542234,52,,0.445686,-0.453744,,,,,0.482940,-0.084431,,,-0.077671,,,,,0.073008
20,gw,oter,fear,0.628295,52,,0.452133,-0.446305,,,,,0.417419,-0.079283,,,-0.051824,,,,,0.075874
21,gw,oter,fear,0.652411,52,,0.474206,-0.520520,,,,,0.413729,-0.102972,,,-0.051551,,,,,0.080971
22,gw,oter,fear,0.636889,52,,0.484470,-0.577511,,,,,0.414133,-0.094644,,,-0.051700,,,,,0.082101
23,gw,oter,fear,0.604251,52,,0.479751,-0.556471,,,,,0.413409,-0.107347,,,-0.048593,,,,,0.081823
24,gw,oter,fear,0.585926,52,,0.461965,-0.555443,,,,,0.422579,-0.137970,,,-0.046355,,,,,0.089339
25,gw,oter,fear,0.584759,52,,0.476421,-0.580634,,,,,0.465656,-0.135727,,,-0.047139,,,,,0.085599
