N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
8,gw,rter,fear,0.518396,52,0.522019,,,,,,,,,0.230156,,,,,0.137069,,0.046612
9,gw,rter,fear,0.519414,52,0.571599,,,,,,,,,0.248111,,,,,0.107763,,0.043324
10,gw,rter,fear,0.356446,52,0.650440,,-0.432985,,,,,,,0.187036,,,,,0.101037,,0.078604
11,gw,rter,fear,0.276545,52,0.649178,-0.234460,,,,,,,,0.201175,,,,,,,0.099631
12,gw,rter,fear,0.274734,52,0.681012,,-0.517778,,,,,,,0.183213,,,,,0.103476,,0.087430
13,gw,rter,fear,0.329343,52,0.635553,,-0.447407,,,,,,,0.214508,,,,,,,0.094400
14,gw,rter,fear,0.311544,52,0.655423,,-0.443667,,,,,,,0.217198,,,,,,,0.092595
15,gw,rter,fear,0.371065,52,0.707220,,-0.523323,,,,,,,0.216974,,,,,0.125876,,0.080666
16,gw,rter,fear,0.360073,52,0.649122,,-0.483314,,,,,,,0.226248,,,,,,,0.095355
17,gw,rter,fear,0.337284,52,0.633899,,-0.476936,,,,,,,0.225209,,,,,,,0.096859
18,gw,rter,fear,0.667957,52,0.261961,,,,,,,,,0.388057,,,,,,,0.072635
19,gw,rter,fear,0.628295,52,0.495029,,-0.355068,,,,,,,0.373257,,,,,,,0.082468
20,gw,rter,fear,0.586588,52,0.408872,0.324371,-0.809908,,-0.252092,,0.321749,-0.325508,,0.427735,,,,,0.146624,0.116804,0.070974
21,gw,rter,fear,0.670856,52,0.434602,0.368963,-0.872050,,-0.316918,,0.474402,-0.427311,,0.454010,,,,,0.163116,0.132982,0.064264
22,gw,rter,fear,0.630426,52,0.411579,0.344219,-0.776458,,-0.274885,,0.413952,-0.404779,,0.457837,,,,,0.150217,0.130090,0.063382
23,gw,rter,fear,0.656153,52,0.290582,0.359177,-0.725074,,-0.227275,,0.376212,-0.423037,,0.486379,,,,,0.156316,0.130850,0.061342
24,gw,rter,fear,0.649594,52,0.320333,0.367529,-0.712970,,-0.253827,,0.398258,-0.427035,,0.502271,,,,,0.166249,0.139742,0.057520
25,gw,rter,fear,0.619647,52,,0.428077,-0.477884,,-0.284898,,0.290005,-0.363827,,0.490792,,,,,0.179406,0.162972,0.058138
