N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
8,gw,rter,fear,0.527387,52,,0.576559,-0.751088,0.342493,,0.384755,-0.438088,-0.246365,-0.130698,0.125704,0.180835,,,0.122320,,0.136473,0.010580
9,gw,rter,fear,0.476517,52,0.441148,0.403709,-0.674682,0.297114,-0.210983,0.206068,,-0.169670,,0.178801,,,,0.110169,,0.114776,-0.041114
10,gw,rter,fear,0.387772,52,0.529062,0.303739,-0.875249,0.176065,,0.369393,-0.364561,-0.237358,,0.167264,,,,0.094682,,0.141276,0.045085
11,gw,rter,fear,0.498610,52,0.714869,0.224573,-0.870420,,,0.221262,,-0.220020,,0.186207,,,,,,0.183337,0.077536
12,gw,rter,fear,0.543784,52,0.756851,,-0.492814,,,0.241308,,-0.299191,,0.216388,,,,,,0.172362,0.087836
13,gw,rter,fear,0.510605,52,0.600177,0.191552,-0.610433,,,0.209610,,-0.277530,,0.235122,,,,,,0.156519,0.085424
14,gw,rter,fear,0.397788,52,0.581333,,-0.426868,0.174507,-0.251484,0.406094,,-0.320368,,0.230295,,,,,0.138667,0.111348,0.062571
15,gw,rter,fear,0.503425,52,0.479143,,,,,0.328476,,-0.334643,,0.277350,,,,,0.162175,,0.069595
16,gw,rter,fear,0.501107,52,0.613883,,-0.305067,,,0.324515,,-0.331659,,0.252220,,,,,0.133664,0.151298,0.066791
17,gw,rter,fear,0.493759,52,0.614256,,-0.319638,,,0.331056,,-0.337179,,0.256495,,,,,,0.146597,0.087826
18,gw,rter,fear,0.641118,52,0.366555,0.235536,-0.442269,,,,,,,0.325937,,,,,,0.123874,0.066137
19,gw,rter,fear,0.643848,52,0.388463,0.154876,-0.301494,,,,,,,0.382746,-0.112369,,,,,,0.100120
20,gw,rter,fear,0.679885,52,0.324797,,,,,,,,,0.353238,,,-0.198744,,0.257521,,0.101216
21,gw,rter,fear,0.679771,52,0.313668,,,,,,,,,0.355801,,,-0.206542,,0.259664,,0.102942
22,gw,rter,fear,0.617747,52,0.273109,0.160054,-0.281297,,,,,-0.192757,0.154245,0.329709,,,-0.199080,0.153332,,0.151833,0.107732
23,gw,rter,fear,0.711378,52,0.270083,,,,,,,-0.182142,0.154226,0.352816,,,-0.205892,0.165876,,0.124829,0.106055
24,gw,rter,fear,0.706353,52,0.245197,,,,,,,-0.206428,0.146912,0.393485,,,-0.246867,,0.256880,,0.144790
25,gw,rter,fear,0.707409,52,0.335598,,,,,,,-0.210800,,0.464561,-0.113450,,,,,,0.149221
